epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,8050.76,0.73799,0.387,1.1137,0.99313,1,0.995,0.79257,0.82448,0.30688,1.35097,0.000110662,0.000110662,0.000110662
84,8126.65,0.73783,0.38881,1.10801,0.99382,1,0.995,0.79308,0.82309,0.31253,1.34172,0.00010484,0.00010484,0.00010484
85,8209.4,0.70763,0.36698,1.08075,0.99338,1,0.995,0.78537,0.83477,0.31257,1.35154,9.90192e-05,9.90192e-05,9.90192e-05
86,8283.81,0.72097,0.36762,1.11078,0.99461,1,0.995,0.79792,0.80112,0.30124,1.31571,9.3198e-05,9.3198e-05,9.3198e-05
87,8369.53,0.7242,0.38593,1.11991,0.99381,1,0.995,0.79948,0.79336,0.29849,1.31325,8.73768e-05,8.73768e-05,8.73768e-05
88,8463.45,0.72026,0.36949,1.10773,0.99444,1,0.995,0.80179,0.78552,0.29329,1.30482,8.15556e-05,8.15556e-05,8.15556e-05
89,8559.71,0.69711,0.36906,1.06747,0.99423,1,0.995,0.79866,0.79144,0.29496,1.30784,7.57344e-05,7.57344e-05,7.57344e-05
90,8678.67,0.715,0.36999,1.08404,0.9939,1,0.995,0.78599,0.79791,0.29894,1.33073,6.99132e-05,6.99132e-05,6.99132e-05
91,8754.62,0.69255,0.30866,1.16343,0.99317,1,0.995,0.79733,0.8179,0.30587,1.3576,6.4092e-05,6.4092e-05,6.4092e-05
92,8831.78,0.67359,0.31102,1.16178,0.99329,1,0.995,0.7903,0.84064,0.31071,1.37719,5.82708e-05,5.82708e-05,5.82708e-05
93,8912.85,0.66853,0.31582,1.15708,0.99201,0.99756,0.995,0.79104,0.80306,0.29656,1.33046,5.24496e-05,5.24496e-05,5.24496e-05
94,9003.68,0.66959,0.29482,1.16694,0.99255,0.99774,0.995,0.79606,0.78259,0.29305,1.30776,4.66284e-05,4.66284e-05,4.66284e-05
95,9098.36,0.6659,0.31619,1.14927,0.99388,0.99776,0.995,0.79699,0.7828,0.29371,1.30467,4.08072e-05,4.08072e-05,4.08072e-05
96,9166.69,0.65751,0.30022,1.15136,0.99362,0.99691,0.995,0.7959,0.79595,0.30084,1.31812,3.4986e-05,3.4986e-05,3.4986e-05
97,9246.22,0.67102,0.29363,1.14675,0.99408,1,0.995,0.79097,0.80285,0.30202,1.32811,2.91648e-05,2.91648e-05,2.91648e-05
98,9349.59,0.65816,0.29422,1.13887,0.99451,1,0.995,0.79041,0.79601,0.29428,1.31883,2.33436e-05,2.33436e-05,2.33436e-05
99,9435.93,0.65458,0.29712,1.14915,0.99484,0.99912,0.995,0.79625,0.78672,0.29044,1.30717,1.75224e-05,1.75224e-05,1.75224e-05
100,9511.89,0.64064,0.29162,1.13552,0.99423,0.99902,0.995,0.79679,0.78554,0.28956,1.30512,1.17012e-05,1.17012e-05,1.17012e-05
